R^2 score (test): 0.707
R^2 score (train): 0.714
Intercept: 311775.7497171513
Coefficients:
bed: -13288.421092955548
bath: 15849.54929044852
sqft: 182.80085706353566
citi_Imperial Beach, CA: 51947.589375269956
citi_Imperial, CA: -160050.7213794909
citi_Indian Wells, CA: -21967.576622799446
citi_Indio, CA: -233095.39452600185
citi_Inglewood, CA: 129444.11209232347
citi_Inyokern, CA: -181707.13145300667
citi_Irvine, CA: 298720.924782905
citi_Jacumba, CA: -101958.19794136238
citi_Jamul, CA: -48468.90162124528
citi_Joshua Tree, CA: -66155.61618686045
citi_Julian, CA: -152879.2912948222
citi_Juniper Hills, CA: -268152.379432187
citi_Keene, CA: -123710.15231024516
citi_Kernville, CA: 32342.754869379824
citi_La Canada Flintridge, CA: 644001.1433749703
citi_La Conchita, CA: 132477.89477893076
citi_La Crescenta, CA: 194144.81654770867
citi_La Habra Heights, CA: 158673.65536843456
citi_La Habra, CA: 44882.847836068126
citi_La Jolla, CA: 284416.94186626456
citi_La Mesa, CA: 44084.5159952016
citi_La Mirada, CA: 42073.97205125113
citi_La Palma, CA: 133864.00692657114
citi_La Puente, CA: 3665.5203288688353
citi_La Quinta, CA: -33876.04285193381
citi_La Verne, CA: 9227.927863203957
citi_Ladera Ranch, CA: 142561.40484891727
citi_Laguna Beach, CA: 408287.7919217447
citi_Laguna Hills, CA: 116999.88559447875
citi_Laguna Niguel, CA: 243552.65358614104
citi_Laguna Woods, CA: -188547.85457410035
citi_Lake Arrowhead, CA: -67134.40612398606
citi_Lake Balboa, CA: 147700.94246905617
citi_Lake Elizabeth, CA: -252121.09409847963
citi_Lake Elsinore, CA: -218767.78121324308
citi_Lake Forest, CA: 151305.07726593278
citi_Lake Hughes, CA: -236190.11014261676
citi_Lake Los Angeles, CA: -300829.29729592986
citi_Lake Sherwood, CA: 581067.3334819323
citi_Lakeside, CA: -82680.8733518015
citi_Lakeview Terrace, CA: 164778.44926835704
citi_Lakewood, CA: 81251.53905943711
citi_Lancaster, CA: -313243.6668528317
citi_Landers, CA: -322093.1924073544
citi_Lawndale, CA: 100949.17399953635
citi_Lebec, CA: -361727.08673798334
citi_Lemon Grove, CA: -59049.13629654428
citi_Leona Valley, CA: -141986.71213337732
citi_Littlerock, CA: -252827.61189440463
citi_Llano, CA: -399581.1048858512
citi_Loma Linda, CA: -175541.3711233945
citi_Lomita, CA: 180657.6103902073
citi_Lompoc, CA: -79841.75152590079
